Año,Mes,Día,Votación Presidencial,Suma de Votos Totales,Partido,Primera fecha: Candidato (a)
1989,diciembre,14,UNICA VOTACIÓN,3850571,DEMOCRATA CRISTIANO,PATRICIO AYLWIN
1989,diciembre,14,UNICA VOTACIÓN,3129288,INDEPENDIENTE,FRANCISCO JAVIER ERRAZURIZ
1993,diciembre,11,UNICA VOTACIÓN,81814,ALIANZA HUMANISTA VERDE,CRISTIAN REITZE
1993,diciembre,11,UNICA VOTACIÓN,4044112,DEMOCRATA CRISTIANO,EDUARDO FREI
1993,diciembre,11,UNICA VOTACIÓN,2849021,INDEPENDIENTE,ARTURO ALESSANDRI
1999,diciembre,12,PRIMERA VOTACIÓN,225224,COMUNISTA DE CHILE,GLADYS MARIN
1999,diciembre,12,PRIMERA VOTACIÓN,36235,HUMANISTA,TOMAS HIRSCH
1999,diciembre,12,PRIMERA VOTACIÓN,31319,INDEPENDIENTE,SARA LARRAIN
1999,diciembre,12,PRIMERA VOTACIÓN,3383334,POR LA DEMOCRACIA,RICARDO LAGOS
1999,diciembre,12,PRIMERA VOTACIÓN,26812,UNION DE CENTRO CENTRO,ARTURO FREI
1999,diciembre,12,PRIMERA VOTACIÓN,3352192,UNION DEMOCRATA INDEPENDIENTE,JOAQUIN LAVIN
2000,enero,16,SEGUNDA VOTACIÓN,3683158,POR LA DEMOCRACIA,RICARDO LAGOS
2000,enero,16,SEGUNDA VOTACIÓN,3495569,UNION DEMOCRATA INDEPENDIENTE,JOAQUIN LAVIN
2005,diciembre,11,PRIMERA VOTACIÓN,375048,HUMANISTA,TOMAS HIRSCH
2005,diciembre,11,PRIMERA VOTACIÓN,1763694,RENOVACION NACIONAL,SEBASTIAN PIÑERA
2005,diciembre,11,PRIMERA VOTACIÓN,3190691,SOCIALISTA DE CHILE,MICHELLE BACHELET
2005,diciembre,11,PRIMERA VOTACIÓN,1612608,UNION DEMOCRATA INDEPENDIENTE,JOAQUIN LAVIN
2006,enero,15,SEGUNDA VOTACIÓN,3236394,RENOVACION NACIONAL,SEBASTIAN PIÑERA
2006,enero,15,SEGUNDA VOTACIÓN,3723019,SOCIALISTA DE CHILE,MICHELLE BACHELET
2009,diciembre,13,PRIMERA VOTACIÓN,433195,COMUNISTA DE CHILE,JORGE ARRATE
2009,diciembre,13,PRIMERA VOTACIÓN,2065061,DEMOCRATA CRISTIANO,EDUARDO FREI
2009,diciembre,13,PRIMERA VOTACIÓN,1405124,INDEPENDIENTE,MARCO ENRIQUEZ-OMINAMI
2009,diciembre,13,PRIMERA VOTACIÓN,3074164,RENOVACION NACIONAL,SEBASTIAN PIÑERA
2010,enero,17,SEGUNDA VOTACIÓN,3367790,DEMOCRATA CRISTIANO,EDUARDO FREI
2010,enero,17,SEGUNDA VOTACIÓN,3591182,RENOVACION NACIONAL,SEBASTIAN PIÑERA
2013,noviembre,17,PRIMERA VOTACIÓN,185072,HUMANISTA,MARCEL CLAUDE REYES
2013,noviembre,17,PRIMERA VOTACIÓN,678609,INDEPENDIENTE,FRANCO ALDO PARISI FERNANDEZ
2013,noviembre,17,PRIMERA VOTACIÓN,154648,PARTIDO ECOLOGISTA VERDE,ALFREDO SFEIR YOUNIS
2013,noviembre,17,PRIMERA VOTACIÓN,81873,PARTIDO IGUALDAD,ROXANA MIRANDA MENESES
2013,noviembre,17,PRIMERA VOTACIÓN,723542,PARTIDO PROGRESISTA,MARCO ENRIQUEZ-OMINAMI GUMUCIO
2013,noviembre,17,PRIMERA VOTACIÓN,37744,PARTIDO REGIONALISTA DE LOS INDEPENDIENTES,RICARDO ISRAEL ZIPPER
2013,noviembre,17,PRIMERA VOTACIÓN,3075839,SOCIALISTA DE CHILE,MICHELLE BACHELET JERIA
2013,noviembre,17,PRIMERA VOTACIÓN,1648481,UNION DEMOCRATA INDEPENDIENTE,EVELYN MATTHEI FORNET
2013,diciembre,15,SEGUNDA VOTACIÓN,3470379,SOCIALISTA DE CHILE,MICHELLE BACHELET JERIA
2013,diciembre,15,SEGUNDA VOTACIÓN,2111891,UNION DEMOCRATA INDEPENDIENTE,EVELYN MATTHEI FORNET
2017,noviembre,19,PRIMERA VOTACIÓN,386398,DEMOCRATA CRISTIANO,CAROLINA GOIC BOROEVIC
2017,noviembre,19,PRIMERA VOTACIÓN,5757385,INDEPENDIENTE,ALEJANDRO  GUILLIER ALVAREZ
2017,noviembre,19,PRIMERA VOTACIÓN,23829,PAIS,ALEJANDRO NAVARRO BRAIN
2017,noviembre,19,PRIMERA VOTACIÓN,376162,PARTIDO PROGRESISTA,MARCO  ENRIQUEZ-OMINAMI GUMUCIO
2017,noviembre,19,PRIMERA VOTACIÓN,33443,UNION PATRIOTICA,EDUARDO ARTES BRICHETTI
2017,diciembre,17,SEGUNDA VOTACIÓN,6936509,INDEPENDIENTE,ALEJANDRO  GUILLIER ALVAREZ
